"year","season","fleet","catch","catchse"
-999,1,1,0,0.01
1,1,1,1,0.01
2,1,1,1,0.01
3,1,1,1,0.01
4,1,1,1,0.01
5,1,1,1,0.01
6,1,1,1,0.01
7,1,1,1,0.01
8,1,1,1,0.01
9,1,1,1,0.01
10,1,1,1,0.01
11,1,1,1,0.01
12,1,1,1,0.01
13,1,1,1,0.01
14,1,1,1,0.01
15,1,1,1,0.01
16,1,1,1,0.01
17,1,1,1,0.01
18,1,1,1,0.01
19,1,1,1,0.01
20,1,1,1,0.01
21,1,1,1,0.01
22,1,1,1,0.01
23,1,1,1,0.01
24,1,1,1,0.01
25,1,1,1,0.01
26,1,1,1,0.01
27,1,1,1,0.01
28,1,1,1,0.01
29,1,1,1,0.01
30,1,1,1,0.01
31,1,1,1,0.01
32,1,1,1,0.01
33,1,1,1,0.01
34,1,1,1,0.01
35,1,1,1,0.01
36,1,1,1,0.01
37,1,1,1,0.01
38,1,1,1,0.01
39,1,1,1,0.01
40,1,1,1,0.01
41,1,1,1,0.01
42,1,1,1,0.01
43,1,1,1,0.01
44,1,1,1,0.01
45,1,1,1,0.01
46,1,1,1,0.01
47,1,1,1,0.01
48,1,1,1,0.01
49,1,1,1,0.01
50,1,1,1,0.01
1,1,2,1,0.01
2,1,2,1,0.01
3,1,2,1,0.01
4,1,2,1,0.01
5,1,2,1,0.01
6,1,2,1,0.01
7,1,2,1,0.01
8,1,2,1,0.01
9,1,2,1,0.01
10,1,2,1,0.01
11,1,2,1,0.01
12,1,2,1,0.01
13,1,2,1,0.01
14,1,2,1,0.01
15,1,2,1,0.01
16,1,2,1,0.01
17,1,2,1,0.01
18,1,2,1,0.01
19,1,2,1,0.01
20,1,2,1,0.01
21,1,2,1,0.01
22,1,2,1,0.01
23,1,2,1,0.01
24,1,2,1,0.01
25,1,2,1,0.01
26,1,2,1,0.01
27,1,2,1,0.01
28,1,2,1,0.01
29,1,2,1,0.01
30,1,2,1,0.01
31,1,2,1,0.01
32,1,2,1,0.01
33,1,2,1,0.01
34,1,2,1,0.01
35,1,2,1,0.01
36,1,2,1,0.01
37,1,2,1,0.01
38,1,2,1,0.01
39,1,2,1,0.01
40,1,2,1,0.01
41,1,2,1,0.01
42,1,2,1,0.01
43,1,2,1,0.01
44,1,2,1,0.01
45,1,2,1,0.01
46,1,2,1,0.01
47,1,2,1,0.01
48,1,2,1,0.01
49,1,2,1,0.01
50,1,2,1,0.01
-9999,0,0,0,0
